"Source","Rename In File","Shift+Alt+R","Editing Ant Buildfiles"
"File","Close All","Shift+Ctrl+F4","In Windows"
"Source","Declaration","Ctrl+G","In C/C++ Views"
"Reverse Debugging Commands","Reverse Step Over","Shift+F6","Debugging C/C++"
"Navigate","Open Resource","Shift+Ctrl+R","In Windows"
"Focused UI","Make Less Interesting","Shift+Ctrl+Alt+Down","In Windows"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","C/C++ Editor"
"Source","Open Element","Shift+Ctrl+T","C/C++ Editor"
"Refactor - C++","Toggle Function - Refactoring ","Shift+Alt+T","C/C++ Editor"
"Views","Show View (Package Explorer)","Shift+Alt+Q P","In Windows"
"Edit","Shift Left","Shift+Tab","C/C++ Editor"
"Views","Show View (Cheat Sheets)","Shift+Alt+Q H","In Windows"
"Source","Toggle Comment","Ctrl+7","Editing Java Source"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging"
"Source","Remove Block Comment","Shift+Ctrl+\","C/C++ Editor"
"Changelog","Prepare Changelog In Editor","Ctrl+Alt+P","Comparing in an Editor"
"Run/Debug","Step Into","F5","Debugging"
"Run/Debug","EOF","Ctrl+D","In I/O Console"
"Edit","Select Enclosing C/C++ Element","Shift+Alt+Up","C/C++ Editor"
"Text Editing","Insert Line Above Current Line","Shift+Ctrl+Enter","Editing Text"
"File","New","Ctrl+N","In Windows"
"Source","Go to Previous Member","Shift+Ctrl+Up","C/C++ Editor"
"Terminal view commands","Terminal view insert","Alt+A","Terminal widget context"
"Edit","Select Previous C/C++ Element","Shift+Alt+Left","C/C++ Editor"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","C/C++ Editor"
"UML2 Sequence Diagram Viewer Commands","Go to associated message","Alt+R","UML2 Sequence Diagram Viewer"
"Text Editing","Delete to End of Line","Shift+Ctrl+Delete","Editing Text"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text"
"Edit","Next Sibling","Shift+Ctrl+Down","Editing in Structured Text Editors"
"Run/Debug","Debug Java Applet","Shift+Alt+D A","In Windows"
"Refactor - Java","Rename - Refactoring ","Shift+Alt+R","In Windows"
"Source","References","Shift+Ctrl+G","In C/C++ Views"
"Navigate","Search Repository for Task","Shift+Ctrl+F12","In Windows"
"Refactor - C++","Extract Function - Refactoring ","Shift+Alt+M","C/C++ Editor"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Source","Toggle Comment","Shift+Ctrl+C","Editing Properties Files"
"Terminal view commands","Terminal view insert","Alt+G","Terminal widget context"
"Text Editing","Previous Word","Ctrl+Left","Editing Text"
"UML2 Sequence Diagram Viewer Commands","Scroll right","Shift+Alt+Right","UML2 Sequence Diagram Viewer"
"Navigate","Go to Next Member","Shift+Ctrl+Down","Editing Java Source"
"Edit","Previous Sibling","Shift+Ctrl+Up","Editing in Structured Text Editors"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows"
"Run/Debug","Run","Ctrl+F11","In Windows"
"Source","Add Block Comment","Shift+Ctrl+/","Editing Java Source"
"Run/Debug","Toggle Breakpoint","Shift+Ctrl+B","In Windows"
"Edit","Context Information","Shift+Ctrl+Space","In Dialogs and Windows"
"Window","Show Contributing Plug-in","Shift+Alt+F3","In Dialogs and Windows"
"Navigate","Previous","Ctrl+,","In Windows"
"Navigate","Deactivate Task","Shift+Ctrl+F9","In Windows"
"Terminal view commands","Terminal view insert","Alt+H","Terminal widget context"
"Window","Show System Menu","Alt+-","In Windows"
"Task Repositories","Mark Task Incomplete","Shift+Alt+I","In Tasks View"
"Task Repositories","New Subtask","Shift+Insert","In Tasks View"
"Text Editing","Select Line Start","Shift+Home","Editing Text"
"Task Repositories","Mark Task Unread","Shift+Alt+U","In Tasks Editor"
"Text Editing","Expand","Ctrl+Numpad_Add","Editing Text"
"Run/Debug","Debug Ant Build","Shift+Alt+D Q","In Windows"
"Text Editing","Text Start","Ctrl+Home","Editing Text"
"Window","Activate Editor","F12","In Windows"
"Run/Debug","Run Android Application","Shift+Alt+A R","In Windows"
"Reverse Debugging Commands","Reverse Step Into","Shift+F5","Debugging C/C++"
"Navigate","Show In...","Shift+Alt+W","In Windows"
"Views","Show View (Error Log)","Shift+Alt+Q L","In Windows"
"Text Editing","Select Next Word","Shift+Ctrl+Right","Editing Text"
"Task Repositories","Mark Task Read","Shift+Alt+R","In Tasks Editor"
"Text Editing","Delete Line","Ctrl+D","Editing Text"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In Windows"
"Git","Paste Repository Path or URI","Ctrl+V","In Git Repositories View"
"Run/Debug","Toggle Memory Monitors Pane","Ctrl+T","In Memory View"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows"
"Views","Show View (Problems)","Shift+Alt+Q X","In Windows"
"Run/Debug","Execute","Ctrl+U","In Windows"
"UML2 Sequence Diagram Viewer Commands","Scroll up","Shift+Alt+Up","UML2 Sequence Diagram Viewer"
"Navigate","Show In Breadcrumb","Shift+Alt+B","Editing Java Source"
"Navigate","Collapse All","Shift+Ctrl+Numpad_Divide","In Windows"
"Source","Indent Line","Ctrl+I","C/C++ Editor"
"Refactor - Java","Extract Local Variable","Shift+Alt+L","In Windows"
"Task Repositories","New Local Task","Insert","In Tasks View"
"Edit","Select Next C/C++ Element","Shift+Alt+Right","C/C++ Editor"
"Navigate","Next Page","Alt+F7","In Windows"
"Edit","Cut","Shift+Delete","In Dialogs and Windows"
"Edit","Modify &Parsing Expression","Ctrl+Alt+F6","In Windows"
"Run/Debug","Go to Address...","Ctrl+G","In Disassembly"
"Navigate","Go To Next Unread Task","Alt+Down","In Tasks View"
"Refactor - C++","Extract Local Variable - Refactoring ","Shift+Alt+L","C/C++ Editor"
"Refactor - C++","Rename - Refactoring ","Shift+Alt+R","C/C++ Editor"
"Views","Show View (Console)","Shift+Alt+Q C","In Windows"
"File","Close","Ctrl+W","In Windows"
"Views","Show View (Task List)","Shift+Alt+Q K","In Windows"
"Edit","Restore Last Selection","Shift+Alt+Down","Editing Java Source"
"Edit","Quick Fix","Ctrl+1","In Dialogs and Windows"
"Text Editing","Select Previous Word","Shift+Ctrl+Left","Editing Text"
"Makefile Source","Open declaration","F3","Makefile Editor"
"Git","Commit...","Ctrl+#","In Windows"
"Edit","Incremental Find Reverse","Shift+Ctrl+J","Editing Text"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Task Repositories","Open Selected Task","Ctrl+Enter","In Tasks View"
"Navigate","Go to Line","Ctrl+L","Editing Text"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","Editing Text"
"Terminal view commands","Terminal view insert","Alt+N","Terminal widget context"
"Navigate","Go to Matching Bracket","Shift+Ctrl+P","Editing Java Source"
"Window","Next View","Ctrl+F7","In Windows"
"Terminal view commands","Terminal view insert","Alt+F","Terminal widget context"
"Changelog","Insert ChangeLog entry","Ctrl+Alt+C","Editing Text"
"Refactor - Java","Show Refactor Quick Menu","Shift+Alt+T","In Windows"
"Source","Add Include","Shift+Ctrl+N","C/C++ Editor"
"Window","Switch to Editor","Shift+Ctrl+E","In Windows"
"File","Rename","F2","In Windows"
"Run/Debug","Next Page of Memory","Shift+Ctrl+.","In Table Memory Rendering"
"Task Repositories","Mark Task Complete","Shift+Alt+C","In Tasks Editor"
"Text Editing","Expand All","Ctrl+Numpad_Multiply","Editing Text"
"Edit","Toggle Comment","Shift+Ctrl+C","Editing in Structured Text Editors"
"Navigate","Quick Outline","Ctrl+O","Editing in Structured Text Editors"
"Task Repositories","Mark Task Read and Go To Next Unread Task","Shift+Alt+Down","In Tasks View"
"Navigate","Quick Outline","Ctrl+O","WikiText Markup Source Context"
"Edit","Matching Tag","Shift+Ctrl+>","Editing in Structured Text Editors"
"Run/Debug","Force Return","Shift+Alt+F","In Windows"
"Navigate","Open Structure","Ctrl+F3","Editing Java Source"
"Text Editing","Move Lines Up","Alt+Up","Editing Text"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows"
"Navigate","Open Remote Task","Shift+Ctrl+Alt+F12","In Windows"
"Source","Explore Macro Expansion","Ctrl+#","C/C++ Editor"
"Run/Debug","All Instances","Shift+Ctrl+N","In Windows"
"Search","References in Workspace","Shift+Ctrl+G","In Windows"
"UML2 Sequence Diagram Viewer Commands","Scroll down","Shift+Alt+Down","UML2 Sequence Diagram Viewer"
"Run/Debug","Inspect","Shift+Ctrl+I","In Dialogs and Windows"
"Terminal view commands","Terminal view insert","Alt+P","Terminal widget context"
"Edit","Toggle Block Selection","Shift+Alt+A","Editing Text"
"Views","Show View (Outline)","Shift+Alt+Q O","In Windows"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows"
"Source","Open Declaration","F3","In Macro Expansion Hover"
"Edit","Add Block Comment","Shift+Ctrl+/","Editing in Structured Text Editors"
"Window","Previous View","Shift+Ctrl+F7","In Windows"
"Edit","Paste","Shift+Insert","In Dialogs and Windows"
"Run/Debug","Display","Shift+Ctrl+D","In Dialogs and Windows"
"Terminal view commands","Terminal view insert","Alt+W","Terminal widget context"
"Run/Debug","Go to Program Counter","Home","In Disassembly"
"File","New menu","Shift+Alt+N","In Windows"
"Edit","Select All","Ctrl+A","In Dialogs and Windows"
"Run/Debug","Run Java Applet","Shift+Alt+X A","In Windows"
"Edit","Toggle Insert Mode","Shift+Ctrl+Insert","Editing Text"
"Navigate","Next","Ctrl+.","In Windows"
"Run/Debug","Next Memory Monitor","Ctrl+Alt+N","In Memory View"
"Source","Sort Lines","Ctrl+Alt+S","C/C++ Editor"
"File","&Export Script...","Ctrl+4","In Windows"
"Source","Quick Type Hierarchy","Ctrl+T","C/C++ Editor"
"Edit","Occurrences in File","Shift+Ctrl+A","Editing in Structured Text Editors"
"Task Editor","Maximize Part","Shift+Ctrl+M","In Tasks Editor"
"Terminal view commands","Terminal view insert","Alt+S","Terminal widget context"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Editing Text"
"Source","Comment/Uncomment","Ctrl+/","C/C++ Editor"
"Navigate","Open Declaration","F3","In Windows"
"Window","Quick Access","Ctrl+3","In Windows"
"Source","Open Element","Shift+Ctrl+T","In C/C++ Views"
"Navigate","Quick Hierarchy","Ctrl+T","Editing Java Source"
"Source","Add Javadoc Comment","Shift+Alt+J","In Windows"
"Edit","Paste","Ctrl+V","In Dialogs and Windows"
"Run/Debug","Debug Android Application","Shift+Alt+A D","In Windows"
"Text Editing","Scroll Line Down","Ctrl+Down","Editing Text"
"File","Print","Ctrl+P","In Windows"
"Window","Show Key Assist","Shift+Ctrl+L","In Dialogs and Windows"
"Text Editing","Collapse All","Shift+Ctrl+Numpad_Divide","Editing Text"
"Focused UI","Show Context Quick View","Shift+Ctrl+Alt+Right","In Windows"
"Run/Debug","Go to Address","Ctrl+G","In Table Memory Rendering"
"Views","Show View","Shift+Alt+Q Q","In Windows"
"Navigate","Activate Task","Ctrl+F9","In Windows"
"Edit","Format Active Elements","Ctrl+I","Editing in Structured Text Editors"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text"
"Window","Previous Perspective","Shift+Ctrl+F8","In Windows"
"Text Editing","Next Word","Ctrl+Right","Editing Text"
"Run/Debug","Use Step Filters","Shift+F5","In Windows"
"Source","Add Import","Shift+Ctrl+M","Editing Java Source"
"Source","Format","Shift+Ctrl+F","Editing Ant Buildfiles"
"Reverse Debugging Commands","Reverse Resume","Shift+F8","Debugging C/C++"
"Changelog","Prepare Changelog","Ctrl+Alt+P","In Windows"
"Edit","Format","Shift+Ctrl+F","Editing in Structured Text Editors"
"Project","Rebuild Last Target","F9","In Windows"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows"
"Edit","Delete","Delete","In Windows"
"Window","Previous Editor","Shift+Ctrl+F6","In Windows"
"Task Repositories","Quick Outline","Ctrl+O","In Tasks Editor"
"Navigate","Matching Character","Shift+Ctrl+P","Editing in Structured Text Editors"
"Window","Quick Switch Editor","Ctrl+E","In Windows"
"Text Editing","Select Line End","Shift+End","Editing Text"
"Source","Open Declaration","F3","C/C++ Editor"
"Git","Copy Path to Clipboard","Ctrl+C","In Git Repositories View"
"Edit","Select Enclosing Element","Shift+Alt+Up","Editing in Structured Text Editors"
"Source","Quick Assist - Assign to field","Ctrl+2 F","Editing Java Source"
"Source","Format","Shift+Ctrl+F","C/C++ Editor"
"Makefile Source","Comment","Ctrl+/","Makefile Editor"
"File","&Import Modules","Ctrl+I","In Windows"
"Refactor - Java","Move - Refactoring ","Shift+Alt+V","In Windows"
"Edit","Restore Last C/C++ Selection","Shift+Alt+Down","C/C++ Editor"
"Run/Debug","Run Java Application","Shift+Alt+X J","In Windows"
"Terminal view commands","Terminal view insert","Alt+E","Terminal widget context"
"Source","Add Block Comment","Shift+Ctrl+/","C/C++ Editor"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In C/C++ Views"
"Refactor - Java","Inline","Shift+Alt+I","In Windows"
"Source","Toggle Mark Occurrences","Shift+Alt+O","C/C++ Editor"
"Text Editing","Text End","Ctrl+End","Editing Text"
"Run/Debug","Terminate","Ctrl+F2","Debugging"
"Views","Show View (Declaration)","Shift+Alt+Q D","In Windows"
"Window","Next Editor","Ctrl+F6","In Windows"
"Source","Format","Shift+Ctrl+F","Editing Java Source"
"Navigate","Go To Previous Unread Task","Alt+Up","In Tasks View"
"Task Repositories","Mark Task Incomplete","Shift+Alt+I","In Tasks Editor"
"Source","Toggle Ant Mark Occurrences","Shift+Alt+O","Editing Ant Buildfiles"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text"
"Task Repositories","Mark Task Read and Go To Previous Unread Task","Shift+Alt+Up","In Tasks View"
"Run","Run w/C&hart","Ctrl+Alt+F5","In Windows"
"Source","Toggle Comment","Shift+Ctrl+C","Editing Java Source"
"Edit","Select Previous Element","Shift+Alt+Left","Editing in Structured Text Editors"
"Edit","Quick Diff Toggle","Shift+Ctrl+Q","Editing Text"
"File","Save","Ctrl+S","In Windows"
"Source","Explore Macro Expansion","Ctrl+=","C/C++ Editor"
"Navigate","Quick Outline","Shift+Ctrl+O","Task Markup Editor Source Context"
"Run/Debug","Add Memory Block","Ctrl+Alt+M","In Memory View"
"File","Save All","Shift+Ctrl+S","In Windows"
"Editor Commands","Organize patches","Shift+Ctrl+O","Specfile Editor Context"
"Changelog","Prepare Changelog In Editor","Ctrl+Alt+P","Editing Text"
"Source","Forward","Alt+Right","In Macro Expansion Hover"
"Edit","Find Next","Ctrl+K","Editing Text"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","In Windows"
"Views","Show View (Type Hierarchy)","Shift+Alt+Q T","In Windows"
"Views","Show View (Javadoc)","Shift+Alt+Q J","In Windows"
"Changelog","Format ChangeLog","Esc Ctrl+F","Editing Text"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text"
"Navigate","Forward History","Alt+Right","In Windows"
"Edit","Content Assist","Alt+/","Editing Text"
"Uncategorized","Copy","Ctrl+C","In Git Reflog View"
"Search","File Search","Ctrl+H","In Windows"
"Edit","Open Selection","F3","Editing in Structured Text Editors"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","In C/C++ Views"
"Views","Show View (Breakpoints)","Shift+Alt+Q B","In Windows"
"Terminal view commands","Terminal view insert","Alt+R","Terminal widget context"
"Views","Show View (Variables)","Shift+Alt+Q V","In Windows"
"Source","Surround With Quick Menu","Shift+Alt+Z","C/C++ Editor"
"Run/Debug","Display","Shift+Ctrl+V","In Dialogs and Windows"
"Source","Toggle Mark Occurrences","Shift+Alt+O","Editing Java Source"
"Terminal view commands","Terminal view insert","Alt+V","Terminal widget context"
"Text Editing","Reset Structure","Shift+Ctrl+Numpad_Multiply","Editing Text"
"Edit","Remove Block Comment","Shift+Ctrl+\","Editing in Structured Text Editors"
"Run/Debug","Run Ant Build","Shift+Alt+X Q","In Windows"
"Navigate","Open Include Browser","Ctrl+Alt+I","C/C++ Editor"
"Navigate","Open Include Browser","Ctrl+Alt+I","In C/C++ Views"
"Source","Open Declaration","F3","In C/C++ Views"
"Text Editing","To Upper Case","Shift+Ctrl+X","Editing Text"
"Source","Declaration","Ctrl+G","C/C++ Editor"
"Refactor - C++","Rename - Refactoring ","Shift+Alt+R","In C/C++ Views"
"Source","Quick Assist - Assign to local variable","Ctrl+2 L","Editing Java Source"
"Text Editing","Move Lines Down","Alt+Down","Editing Text"
"Task Repositories","Mark Task Unread","Shift+Alt+U","In Tasks View"
"Navigate","Open Task","Ctrl+F12","In Windows"
"File","Properties","Alt+Enter","In Windows"
"File","Refresh","F5","In Windows"
"Run/Debug","Run JUnit Test","Shift+Alt+X T","In Windows"
"Search","Declaration in Workspace","Ctrl+G","In Windows"
"Android Refactorings","Extract Android String","Shift+Alt+A S","In Windows"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows"
"Views","Show View (Search)","Shift+Alt+Q S","In Windows"
"Edit","Select Enclosing Element","Shift+Alt+Up","Editing Java Source"
"Source","Show Tooltip Description","F2","Autoconf Editor"
"Edit","Select Previous Element","Shift+Alt+Left","Editing Java Source"
"Source","Toggle Comment","Ctrl+/","Editing Java Source"
"Navigate","Open Type","Shift+Ctrl+T","In Windows"
"Views","Show View (History)","Shift+Alt+Q Z","In Windows"
"Run/Debug","Run to Line","Ctrl+R","Debugging"
"Source","Organize Imports","Shift+Ctrl+O","In Windows"
"Makefile Source","Uncomment","Ctrl+\","Makefile Editor"
"Source","Toggle Comment","Ctrl+7","Editing Properties Files"
"Source","Back","Alt+Left","In Macro Expansion Hover"
"Project","Make Target Build","Shift+F9","In Windows"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows"
"Run/Debug","New Rendering","Ctrl+N","In Memory View"
"Edit","Select Next Element","Shift+Alt+Right","Editing in Structured Text Editors"
"Source","Remove Block Comment","Shift+Ctrl+\","Editing Java Source"
"Navigate","Quick Outline","Ctrl+O","Editing Java Source"
"Source","Show Source Quick Menu","Shift+Alt+S","In Windows"
"Run/Debug","Resume","F8","Debugging"
"Source","Correct Indentation","Ctrl+I","Editing Java Source"
"Source","References","Shift+Ctrl+G","C/C++ Editor"
"Source","Show outline","Ctrl+O","C/C++ Editor"
"Views","Show View (Synchronize)","Shift+Alt+Q Y","In Windows"
"Source","Show Source Quick Menu","Shift+Alt+S","C/C++ Editor"
"File","Close","Ctrl+F4","In Windows"
"Edit","Find and Replace","Ctrl+F","In Windows"
"Navigate","Expand All","Shift+Ctrl+Numpad_Multiply","In Windows"
"Text Editing","To Lower Case","Shift+Ctrl+Y","Editing Text"
"Source","Go to Next Member","Shift+Ctrl+Down","C/C++ Editor"
"Source","Open External Documentation","Shift+F2","Editing Ant Buildfiles"
"Text Editing","Line Start","Home","Editing Text"
"Navigate","Last Edit Location","Ctrl+Q","In Windows"
"Search","Show Occurrences in File Quick Menu","Shift+Ctrl+U","In Windows"
"UML2 Sequence Diagram Viewer Commands","Show node end","Shift+Alt+End","UML2 Sequence Diagram Viewer"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Edit","Redo","Shift+Ctrl+Z","In Dialogs and Windows"
