"Edit","Copy","Ctrl+Insert","In Dialogs and Windows"
"PyDev - Editor","Add Single Comment Block","Shift+Ctrl+4","PyDev editor scope"
"Source","Surround With Quick Menu","Shift+Alt+Z","C/C++ Editor"
"Navigate","Activate Task","Ctrl+F9","In Windows"
"Source","Open Element","Shift+Ctrl+T","In C/C++ Views"
"Edit","Cut","Ctrl+X","In Dialogs and Windows"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text"
"Window","Show Contributing Plug-in","Shift+Alt+F3","In Dialogs and Windows"
"Edit","Restore Last Selection","Shift+Alt+Down","Editing Java Source"
"Source","Open Declaration","F3","C/C++ Editor"
"Source","Quick Type Hierarchy","Ctrl+T","C/C++ Editor"
"Edit","Quick Fix","Ctrl+1","In Dialogs and Windows"
"Text Editing","Collapse All","Shift+Ctrl+Numpad_Divide","Editing Text"
"Changelog","Format ChangeLog","Esc Ctrl+F","Editing Text"
"Edit","Incremental Find Reverse","Shift+Ctrl+J","Editing Text"
"Edit","Incremental Find","Ctrl+J","Editing Text"
"Text Editing","Select Previous Word","Shift+Ctrl+Left","Editing Text"
"Source","Show outline","Ctrl+O","C/C++ Editor"
"Edit","Matching Tag","Shift+Ctrl+>","Editing in Structured Text Editors"
"Run/Debug","Run JUnit Test","Shift+Alt+X T","In Windows"
"Run/Debug","Use Step Filters","Shift+F5","In Windows"
"Source","Show Source Quick Menu","Shift+Alt+S","In Windows"
"UML2 Sequence Diagram Viewer Commands","Show node end","Shift+Alt+End","UML2 Sequence Diagram Viewer"
"pepticcategory","Extract Method...","Shift+Alt+T E","PyDev editor scope"
"File","New menu","Shift+Alt+N","In Windows"
"Search","Declaration in Workspace","Ctrl+G","In Windows"
"File","Close","Ctrl+W","In Windows"
"Edit","Select Previous Element","Shift+Alt+Left","Editing Java Source"
"pepticcategory","Extract Local Variable...","Shift+Alt+L","PyDev editor scope"
"Source","Open Element","Shift+Ctrl+T","C/C++ Editor"
"Terminal view commands","Terminal view insert","Alt+T","Terminal widget context"
"Project","Build Project","Ctrl+B","In Windows"
"Source","Declaration","Ctrl+G","C/C++ Editor"
"Terminal view commands","Terminal view insert","Alt+N","Terminal widget context"
"Run/Debug","Run","Ctrl+F11","In Windows"
"Edit","Next Sibling","Shift+Ctrl+Down","Editing in Structured Text Editors"
"Text Editing","Move Lines Up","Alt+Up","Editing Text"
"Navigate","Open Structure","Ctrl+F3","Editing Java Source"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows"
"PyDev - Run","Terminate all launches","Ctrl+Alt+F9","PyDev editor scope"
"Run/Debug","Display","Shift+Ctrl+V","In Dialogs and Windows"
"Source","Remove Block Comment","Shift+Ctrl+\","Editing Java Source"
"Run/Debug","Execute","Ctrl+U","In Windows"
